ID ID Set Genre                                    sec wer
033 1 train_clean ROCK                                     142.70 93.41
033 2 train_clean RNB_SOUL ELECTRONIC POP                  183.80 96.09
035 1 train_clean POP ELECTRONIC                           160.30 95.96
036 1 test_clean ROCK ELECTRONIC                          169.80 97.21
037 1 train_clean POP                                      148.80 95.30
038 1 train_other POP                                      118.20 86.11
039 1 test_other POP                                      164.00 97.01
039 2 test_other ROCK POP                                 151.90 90.35
039 3 test_other POP                                      186.80 88.85
039 4 test_other ROCK POP                                 168.70 150.03
040 1 train_clean ROCK POP                                 182.40 87.82
042 1 test_clean POP                                      188.30 96.69
043 1 train_clean POP ELECTRONIC                           119.90 95.53
044 1 test_other POP RNB_SOUL                             151.40 97.95
047 1 train_clean POP ELECTRONIC ROCK                      167.90 95.52
047 2 train_clean POP                                      117.90 99.00
047 3 train_clean POP                                      146.60 79.57
049 1 train_clean HIPHOP                                   108.50 93.89
050 1 train_clean POP ELECTRONIC ROCK                      149.60 95.94
050 2 train_clean POP ELECTRONIC                           146.30 87.73
050 3 train_clean POP ELECTRONIC ROCK                      194.50 97.90
050 4 train_clean POP ELECTRONIC                           129.10 94.13
051 1 train_clean ROCK HIPHOP                              172.60 85.71
054 1 train_clean POP ELECTRONIC                           177.40 87.70
056 1 train_other ROCK                                     155.70 84.94
056 2 train_other ROCK HIPHOP ELECTRONIC                   161.80 86.65
056 3 train_other ROCK                                     145.10 100.45
056 4 train_other ROCK                                     128.80 118.31
056 5 train_other ROCK HIPHOP                              153.30 83.01
056 6 train_other ROCK                                     98.80 95.18
056 8 train_other ROCK ELECTRONIC                          200.70 96.75
058 1 train_clean HIPHOP ELECTRONIC                        205.10 92.55
058 2 train_clean HIPHOP ELECTRONIC                        213.40 89.61
058 3 train_clean ROCK                                     173.40 97.62
058 4 train_clean ROCK                                     230.80 97.51
058 5 train_clean HIPHOP                                   207.30 92.43
058 6 train_clean POP                                      181.70 97.04
060 1 test_clean RNB_SOUL ELECTRONIC                      205.30 236.88
060 4 test_clean RNB_SOUL                                 155.20 94.41
060 5 test_clean RNB_SOUL                                 113.80 96.01
060 7 test_clean RNB_SOUL                                 187.40 90.66
060 8 test_clean POP ELECTRONIC                           197.40 95.41
061 2 train_clean POP ELECTRONIC RNB_SOUL                  206.10 95.86
062 1 test_clean POP                                      207.90 97.62
062 2 test_clean POP ROCK ELECTRONIC                      204.50 93.37
062 3 test_clean POP ROCK                                 183.20 99.62
063 1 train_clean POP RNB_SOUL                             148.30 94.98
064 1 train_clean POP ELECTRONIC                           171.60 96.54
065 1 train_clean POP ROCK                                 165.60 93.76
065 2 train_clean POP                                      190.20 97.07
065 3 train_clean POP                                      134.90 97.42
066 1 train_clean RNB_SOUL                                 125.40 93.44
067 1 test_clean ROCK                                     202.70 126.92
068 1 train_other HIPHOP RNB_SOUL                          205.80 85.02
069 1 train_clean POP RNB_SOUL                             228.10 87.26
070 1 train_clean POP ELECTRONIC                           159.70 90.83
071 1 test_other POP (DOOWOP) RNB_SOUL                    186.18 111.15
072 1 train_clean POP RNB_SOUL                             94.30 93.68
073 1 train_other RNB_SOUL                                 215.31 93.93
074 1 test_clean ROCK HIPHOP                              103.10 285.36
075 1 test_clean POP                                      182.60 97.72
076 1 test_clean ELECTRONIC HIPHOP                        192.00 108.94
077 1 train_clean POP                                      226.90 93.43
078 1 train_clean RNB_SOUL                                 204.40 94.14
079 1 train_clean RNB_SOUL (DANCEHALL) (RAGGAE_fusion)     209.20 88.87
080 1 train_clean ELECTRONIC                               30.30 96.23
081 1 train_clean HIPHOP POP                               174.70 87.03
083 1 train_other ELECTRONIC POP                           128.90 96.37
084 1 train_clean HIPHOP ROCK                              158.90 80.41
085 1 train_clean POP RNB_SOUL                             56.50 93.23
086 1 test_clean HIPHOP RNB_SOUL                          209.70 136.51
087 1 train_clean HIPHOP                                   210.10 90.23
088 1 train_other POP                                      205.10 89.92
089 1 train_clean RNB_SOUL                                 169.80 93.60
090 1 train_clean POP ELECTRONIC HIPHOP                    161.20 95.67
